BusStopID,RoadName,Description,Longitude,Latitude,SVY21_X,SVY21_Y
52449,Lor 1 Toa Payoh,Bef Blk 105,103.85000305578686,1.34044945876465,29856.802624816464,35845.61329159124
52451,Whampoa Rd,Blk 114,103.85731928602708,1.3253199216809,30671.036607610367,34172.673205591025
52479,Ah Hood Rd,Opp EAIM,103.84578619081431,1.32749617656635,29387.518195180088,34413.30287404366
52481,Lor 8 Toa Payoh,Toa Payoh Polyclinic,103.85859277800392,1.33524833301564,30812.752192713546,35270.50755661893
52489,Lor 8 Toa Payoh,Opp Toa Payoh Polyclinic,103.85871194397946,1.33536277799489,30826.01398114026,35283.16243413846
52499,Whampoa Rd,St. Michael's Ter,103.85537211273478,1.32603759751245,30454.335142346506,34252.02811029552
52501,Lor 6 Toa Payoh,Bef Toa Payoh Pk,103.85011762889827,1.33090220918791,29869.560587521595,34789.927365168885
52509,Lor 6 Toa Payoh,Aft HDB Hub,103.85017633434691,1.33115712303762,29876.093704798415,34818.114477975265
52529,Lor 8 Toa Payoh,Bef Blk 221,103.85733489917507,1.34132643517011,30672.756941434305,35942.59163901037
52531,Lor 8 Toa Payoh,Opp Blk 210 Mkt/FC,103.854501,1.3397645,30357.376060875027,35769.87791759353
52539,Lor 8 Toa Payoh,Blk 210 Mkt/FC,103.85386250003322,1.33991805598004,30286.317723638134,35786.85674865193
52551,Toa Payoh Lk,Caldecott Stn Exit 4,103.839853,1.33634,28727.211901240997,35391.2050249112
52559,Toa Payoh Lk,Caldecott Stn Exit 1,103.83967,1.336478,28706.8458985171,35406.46430512834
52561,Kim Keat Ave,Blk 269A,103.859677,1.33319,30933.417128294892,35042.90887690905
52569,Kim Keat Ave,Opp Blk 269A,103.859789,1.333124,30945.881638542214,35035.61106787656
52571,Toa Payoh East,Blk 268A,103.858081,1.3328873,30755.799311993112,35009.436016058244
52579,Toa Payoh East,Blk 259,103.858025,1.332954,30749.56702145565,35016.8112984736
52581,Toa Payoh Lk,Bef Caldecott Stn Exit 4,103.839776,1.3371305,28718.6423868195,35478.61444556577
53009,Bishan St 13,Bishan Int,103.84988083722291,1.35045541249544,29843.193511279485,36952.02045878138
53011,Upp Thomson Rd,St. Theresa's Hme,103.8382633553218,1.34555351143315,28550.299220108587,36409.987573474624
53019,Upp Thomson Rd,Opp St. Theresa's Hme,103.83871779531225,1.34600349626668,28600.873282803626,36459.74470328901
53021,Upp Thomson Rd,Lakeview Est,103.83652457261991,1.34967996840542,28356.791232997497,36866.26977777765
53029,Upp Thomson Rd,Shunfu Est,103.83729222566143,1.34939240848355,28442.22248083321,36834.472996039185
53039,Upp Thomson Rd,Thomson CC,103.83591070615076,1.35144681735328,28288.47455496777,37061.63882970397
53041,Upp Thomson Rd,Bef Thomson Ridge,103.834337,1.353099,28113.338716017868,37244.32862202455
53049,Upp Thomson Rd,Bef Jln Todak,103.83422172361446,1.35362664583092,28100.509740453952,37302.67299948947
53051,Upp Thomson Rd,Upp Thomson Stn Exit 5,103.8316003,1.354995,27808.775196676204,37453.978670395
53059,Upp Thomson Rd,Upp Thomson Stn Exit 2,103.8312231,1.355471,27766.79719348269,37506.612354656565
53061,Upp Thomson Rd,Bef Windsor Pk Rd,103.82883507046125,1.3571583010953,27501.037196506873,37693.18586414104
53069,Upp Thomson Rd,Aft Windsor Pk Rd,103.82894351047115,1.35777159286274,27513.105442668177,37761.0005173925
53071,Upp Thomson Rd,Opp Flame Tree Pk,103.82834252087906,1.36063333692202,27446.222899543045,38077.43771312398
53079,Upp Thomson Rd,Flame Tree Pk,103.82864333297208,1.36082666696977,27479.69981165446,38098.815097117586
53081,Upp Thomson Rd,Opp Faber Gdn,103.82783467220469,1.36319303798878,27389.705922550904,38360.47653458982
53089,Upp Thomson Rd,Faber Gdn,103.828198,1.363977,27430.140202456485,38447.162970271806
53091,Upp Thomson Rd,Bef Ang Mo Kio Ave 1,103.8279237884758,1.36482025993725,27399.62391601258,38540.40642527848
53099,Upp Thomson Rd,Aft Ang Mo Kio Ave 1,103.82842866172699,1.36660638165473,27455.8107147031,38737.90654756614
53111,Marymount Rd,Bef Marymount Lane,103.83890138902032,1.34549638897792,28621.305367395937,36403.67141710576
53119,Marymount Rd,Aft Bishan St 21,103.839451,1.347063,28682.47059115033,36576.89940402919
53121,Marymount Rd,Marymount Stn,103.83947418569129,1.35016694219359,28685.050036219618,36920.117481819754
53129,Marymount Rd,Opp Marymount Stn,103.83978033272378,1.34968057726521,28719.120912113198,36866.33782020584
53131,Marymount Rd,Aft Jadescape,103.84031279218438,1.35315805208995,28778.376589238316,37250.85939475873
53139,Marymount Rd,Marymount View,103.840607,1.353021,28811.118626976568,37235.70497035809
53141,Marymount Rd,Opp Whitley Sec Sch,103.84132706520519,1.35566500759395,28891.25275621782,37528.066090319495
53149,Marymount Rd,Whitley Sec Sch,103.84161232917471,1.35548111090619,28922.99943687703,37507.73183941421
53151,Marymount Rd,Opp Blk 263A CP,103.841113,1.357995,28867.42892338429,37785.70468865872
53159,Marymount Rd,Blk 260,103.841265,1.358612,28884.3445416374,37853.929457418344
53161,Marymount Rd,Marymount CC,103.842055,1.362208,28972.260946153445,38251.55711140546
53169,Marymount Rd,Blk 254,103.842512,1.362165,29023.11969104425,38246.802579367926
53171,Sin Ming Rd,Blk 23,103.83630694400975,1.35466138896969,28332.570928633406,37417.08979927488
53179,Sin Ming Rd,Sin Ming Plaza,103.835842,1.353043,28280.828152136484,37238.136549128365
53181,Sin Ming Rd,Amtech Bldg,103.83781001395549,1.35607279929568,28499.84516996878,37573.15660834311
53189,Sin Ming Rd,Blk 25,103.83681111097366,1.35496333303081,28388.678909489347,37450.47730733194
53191,Sin Ming Rd,Blk 7 Ind Est,103.83908917392279,1.35837944828586,28642.200385670792,37828.2143890033
53199,Sin Ming Rd,Blk 22A CP,103.83899242953868,1.35754830843445,28631.434071429376,37736.3111576511
53201,Sin Ming Dr,Opp NEA Reg Off,103.83850250682744,1.36128501070806,28576.910445475747,38149.49652035133
53209,Sin Ming Dr,Aft NEA Reg Off,103.83852670989133,1.36099828733018,28579.604031181858,38117.79211649774
53211,Bishan Rd,Opp Raffles Instn,103.84712672325323,1.34707169454274,29536.69364268347,36577.864291459
53219,Bishan Rd,Raffles Instn,103.8465836110301,1.34606111102286,29476.25186921463,36466.11879257844
